State,Date,Region,Active Cases
Perlis,26/9/2020,Perlis,0
Perlis,27/9/2020,Perlis,0
Perlis,28/9/2020,Perlis,0
Perlis,29/9/2020,Perlis,0
Perlis,30/9/2020,Perlis,0
Perlis,1/10/2020,Perlis,0
Perlis,2/10/2020,Perlis,0
Perlis,3/10/2020,Perlis,0
Perlis,4/10/2020,Perlis,0
Perlis,5/10/2020,Perlis,0
Perlis,6/10/2020,Perlis,0
Perlis,7/10/2020,Perlis,0
Perlis,8/10/2020,Perlis,0
Perlis,9/10/2020,Perlis,0
Perlis,10/10/2020,Perlis,0
Perlis,11/10/2020,Perlis,0
Perlis,12/10/2020,Perlis,0
Perlis,13/10/2020,Perlis,0
Perlis,14/10/2020,Perlis,0
Perlis,15/10/2020,Perlis,0
Perlis,16/10/2020,Perlis,0
Perlis,17/10/2020,Perlis,0
Perlis,18/10/2020,Perlis,0
Perlis,19/10/2020,Perlis,0
Perlis,20/10/2020,Perlis,0
Perlis,21/10/2020,Perlis,0
Perlis,22/10/2020,Perlis,0
Perlis,23/10/2020,Perlis,0
Perlis,24/10/2020,Perlis,0
Perlis,25/10/2020,Perlis,0
Perlis,26/10/2020,Perlis,0
Perlis,27/10/2020,Perlis,0
Perlis,28/10/2020,Perlis,0
Perlis,29/10/2020,Perlis,0
Perlis,30/10/2020,Perlis,0
Perlis,31/10/2020,Perlis,0
Perlis,1/11/2020,Perlis,0
Perlis,2/11/2020,Perlis,0
Perlis,3/11/2020,Perlis,0
Perlis,4/11/2020,Perlis,0
Perlis,5/11/2020,Perlis,0
Perlis,6/11/2020,Perlis,0
Perlis,7/11/2020,Perlis,0
Perlis,8/11/2020,Perlis,0
Perlis,9/11/2020,Perlis,0
Perlis,10/11/2020,Perlis,0
Perlis,11/11/2020,Perlis,0
Perlis,12/11/2020,Perlis,0
Perlis,13/11/2020,Perlis,0
Perlis,14/11/2020,Perlis,0
Perlis,15/11/2020,Perlis,1
Perlis,16/11/2020,Perlis,1
Perlis,17/11/2020,Perlis,1
Perlis,18/11/2020,Perlis,1
Perlis,19/11/2020,Perlis,1
Perlis,20/11/2020,Perlis,1
Perlis,21/11/2020,Perlis,1
Perlis,22/11/2020,Perlis,1
Perlis,23/11/2020,Perlis,1
Perlis,24/11/2020,Perlis,0
Perlis,25/11/2020,Perlis,0
Perlis,26/11/2020,Perlis,0
Perlis,27/11/2020,Perlis,0
Perlis,28/11/2020,Perlis,0
Perlis,29/11/2020,Perlis,0
Perlis,30/11/2020,Perlis,0
Kedah,26/9/2020,Kuala Muda,13
Kedah,26/9/2020,Kota Setar,44
Kedah,26/9/2020,Kubang Pasu,5
Kedah,26/9/2020,Kulim,0
Kedah,26/9/2020,Pendang,0
Kedah,26/9/2020,Baling,0
Kedah,26/9/2020,Padang Terap,0
Kedah,26/9/2020,Langkawi,1
Kedah,26/9/2020,Bandar Baharu,0
Kedah,26/9/2020,Sik,0
Kedah,26/9/2020,Yan,0
Kedah,27/9/2020,Kuala Muda,0
Kedah,27/9/2020,Kota Setar,44
Kedah,27/9/2020,Kubang Pasu,4
Kedah,27/9/2020,Kulim,0
Kedah,27/9/2020,Pendang,0
Kedah,27/9/2020,Baling,0
Kedah,27/9/2020,Padang Terap,0
Kedah,27/9/2020,Langkawi,1
Kedah,27/9/2020,Bandar Baharu,0
Kedah,27/9/2020,Sik,0
Kedah,27/9/2020,Yan,0
Kedah,28/9/2020,Kuala Muda,0
Kedah,28/9/2020,Kota Setar,44
Kedah,28/9/2020,Kubang Pasu,4
Kedah,28/9/2020,Kulim,0
Kedah,28/9/2020,Pendang,0
Kedah,28/9/2020,Baling,0
Kedah,28/9/2020,Padang Terap,0
