"","State","Date","Region","Active.Cases"
"1","Perlis",2020-09-26,"Perlis",0
"2","Perlis",2020-09-27,"Perlis",0
"3","Perlis",2020-09-28,"Perlis",0
"4","Perlis",2020-09-29,"Perlis",0
"5","Perlis",2020-09-30,"Perlis",0
"6","Perlis",2020-10-01,"Perlis",0
"7","Perlis",2020-10-02,"Perlis",0
"8","Perlis",2020-10-03,"Perlis",0
"9","Perlis",2020-10-04,"Perlis",0
"10","Perlis",2020-10-05,"Perlis",0
"11","Perlis",2020-10-06,"Perlis",0
"12","Perlis",2020-10-07,"Perlis",0
"13","Perlis",2020-10-08,"Perlis",0
"14","Perlis",2020-10-09,"Perlis",0
"15","Perlis",2020-10-10,"Perlis",0
"16","Perlis",2020-10-11,"Perlis",0
"17","Perlis",2020-10-12,"Perlis",0
"18","Perlis",2020-10-13,"Perlis",0
"19","Perlis",2020-10-14,"Perlis",0
"20","Perlis",2020-10-15,"Perlis",0
"21","Perlis",2020-10-16,"Perlis",0
"22","Perlis",2020-10-17,"Perlis",0
"23","Perlis",2020-10-18,"Perlis",0
"24","Perlis",2020-10-19,"Perlis",0
"25","Perlis",2020-10-20,"Perlis",0
"26","Perlis",2020-10-21,"Perlis",0
"27","Perlis",2020-10-22,"Perlis",0
"28","Perlis",2020-10-23,"Perlis",0
"29","Perlis",2020-10-24,"Perlis",0
"30","Perlis",2020-10-25,"Perlis",0
"31","Perlis",2020-10-26,"Perlis",0
"32","Perlis",2020-10-27,"Perlis",0
"33","Perlis",2020-10-28,"Perlis",0
"34","Perlis",2020-10-29,"Perlis",0
"35","Perlis",2020-10-30,"Perlis",0
"36","Perlis",2020-10-31,"Perlis",0
"37","Perlis",2020-11-01,"Perlis",0
"38","Perlis",2020-11-02,"Perlis",0
"39","Perlis",2020-11-03,"Perlis",0
"40","Perlis",2020-11-04,"Perlis",0
"41","Perlis",2020-11-05,"Perlis",0
"42","Perlis",2020-11-06,"Perlis",0
"43","Perlis",2020-11-07,"Perlis",0
"44","Perlis",2020-11-08,"Perlis",0
"45","Perlis",2020-11-09,"Perlis",0
"46","Perlis",2020-11-10,"Perlis",0
"47","Perlis",2020-11-11,"Perlis",0
"48","Perlis",2020-11-12,"Perlis",0
"49","Perlis",2020-11-13,"Perlis",0
"50","Perlis",2020-11-14,"Perlis",0
"51","Perlis",2020-11-15,"Perlis",1
"52","Perlis",2020-11-16,"Perlis",1
"53","Perlis",2020-11-17,"Perlis",1
"54","Perlis",2020-11-18,"Perlis",1
"55","Perlis",2020-11-19,"Perlis",1
"56","Perlis",2020-11-20,"Perlis",1
"57","Perlis",2020-11-21,"Perlis",1
"58","Perlis",2020-11-22,"Perlis",1
"59","Perlis",2020-11-23,"Perlis",1
"60","Perlis",2020-11-24,"Perlis",0
"61","Perlis",2020-11-25,"Perlis",0
"62","Perlis",2020-11-26,"Perlis",0
"63","Perlis",2020-11-27,"Perlis",0
"64","Perlis",2020-11-28,"Perlis",0
"65","Perlis",2020-11-29,"Perlis",0
"66","Perlis",2020-11-30,"Perlis",0
"67","Kedah",2020-09-26,"Kuala Muda",13
"68","Kedah",2020-09-27,"Kota Setar",44
"69","Kedah",2020-09-28,"Kubang Pasu",5
"70","Kedah",2020-09-29,"Kulim",0
"71","Kedah",2020-09-30,"Pendang",0
"72","Kedah",2020-10-01,"Baling",0
"73","Kedah",2020-10-02,"Padang Terap",0
"74","Kedah",2020-10-03,"Langkawi",1
"75","Kedah",2020-10-04,"Bandar Baharu",0
"76","Kedah",2020-10-05,"Sik",0
"77","Kedah",2020-10-06,"Yan",0
"78","Kedah",2020-10-07,"Kuala Muda",0
"79","Kedah",2020-10-08,"Kota Setar",44
"80","Kedah",2020-10-09,"Kubang Pasu",4
"81","Kedah",2020-10-10,"Kulim",0
"82","Kedah",2020-10-11,"Pendang",0
"83","Kedah",2020-10-12,"Baling",0
"84","Kedah",2020-10-13,"Padang Terap",0
"85","Kedah",2020-10-14,"Langkawi",1
"86","Kedah",2020-10-15,"Bandar Baharu",0
"87","Kedah",2020-10-16,"Sik",0
"88","Kedah",2020-10-17,"Yan",0
"89","Kedah",2020-10-18,"Kuala Muda",0
"90","Kedah",2020-10-19,"Kota Setar",44
"91","Kedah",2020-10-20,"Kubang Pasu",4
"92","Kedah",2020-10-21,"Kulim",0
"93","Kedah",2020-10-22,"Pendang",0
"94","Kedah",2020-10-23,"Baling",0
"95","Kedah",2020-10-24,"Padang Terap",0
"96","Kedah",2020-10-25,"Langkawi",1
"97","Kedah",2020-10-26,"Bandar Baharu",0
"98","Kedah",2020-10-27,"Sik",0
"99","Kedah",2020-10-28,"Yan",0
"100","Kedah",2020-10-29,"Kuala Muda",0
"101","Kedah",2020-10-30,"Kota Setar",44
"102","Kedah",2020-10-31,"Kubang Pasu",4
"103","Kedah",2020-11-01,"Kulim",0
"104","Kedah",2020-11-02,"Pendang",0
"105","Kedah",2020-11-03,"Baling",0
"106","Kedah",2020-11-04,"Padang Terap",0
"107","Kedah",2020-11-05,"Langkawi",1
"108","Kedah",2020-11-06,"Bandar Baharu",0
"109","Kedah",2020-11-07,"Sik",0
"110","Kedah",2020-11-08,"Yan",0
"111","Kedah",2020-11-09,"Kuala Muda",0
"112","Kedah",2020-11-10,"Kota Setar",48
"113","Kedah",2020-11-11,"Kubang Pasu",4
"114","Kedah",2020-11-12,"Kulim",0
"115","Kedah",2020-11-13,"Pendang",0
"116","Kedah",2020-11-14,"Baling",5
"117","Kedah",2020-11-15,"Padang Terap",0
"118","Kedah",2020-11-16,"Langkawi",1
"119","Kedah",2020-11-17,"Bandar Baharu",0
"120","Kedah",2020-11-18,"Sik",1
"121","Kedah",2020-11-19,"Yan",0
"122","Kedah",2020-11-20,"Kuala Muda",5
"123","Kedah",2020-11-21,"Kota Setar",130
"124","Kedah",2020-11-22,"Kubang Pasu",4
"125","Kedah",2020-11-23,"Kulim",0
"126","Kedah",2020-11-24,"Pendang",0
"127","Kedah",2020-11-25,"Baling",5
"128","Kedah",2020-11-26,"Padang Terap",0
"129","Kedah",2020-11-27,"Langkawi",4
"130","Kedah",2020-11-28,"Bandar Baharu",0
"131","Kedah",2020-11-29,"Sik",1
"132","Kedah",2020-11-30,"Yan",0
"133","Kedah",2020-09-26,"Kuala Muda",5
"134","Kedah",2020-09-27,"Kota Setar",258
"135","Kedah",2020-09-28,"Kubang Pasu",4
"136","Kedah",2020-09-29,"Kulim",1
"137","Kedah",2020-09-30,"Pendang",0
"138","Kedah",2020-10-01,"Baling",5
"139","Kedah",2020-10-02,"Padang Terap",0
"140","Kedah",2020-10-03,"Langkawi",4
"141","Kedah",2020-10-04,"Bandar Baharu",0
"142","Kedah",2020-10-05,"Sik",1
"143","Kedah",2020-10-06,"Yan",0
"144","Kedah",2020-10-07,"Kuala Muda",5
"145","Kedah",2020-10-08,"Kota Setar",347
"146","Kedah",2020-10-09,"Kubang Pasu",3
"147","Kedah",2020-10-10,"Kulim",3
"148","Kedah",2020-10-11,"Pendang",1
"149","Kedah",2020-10-12,"Baling",5
"150","Kedah",2020-10-13,"Padang Terap",0
"151","Kedah",2020-10-14,"Langkawi",4
"152","Kedah",2020-10-15,"Bandar Baharu",0
"153","Kedah",2020-10-16,"Sik",1
"154","Kedah",2020-10-17,"Yan",0
"155","Kedah",2020-10-18,"Kuala Muda",6
"156","Kedah",2020-10-19,"Kota Setar",455
"157","Kedah",2020-10-20,"Kubang Pasu",4
"158","Kedah",2020-10-21,"Kulim",3
"159","Kedah",2020-10-22,"Pendang",1
"160","Kedah",2020-10-23,"Baling",5
"161","Kedah",2020-10-24,"Padang Terap",0
"162","Kedah",2020-10-25,"Langkawi",4
"163","Kedah",2020-10-26,"Bandar Baharu",0
"164","Kedah",2020-10-27,"Sik",1
"165","Kedah",2020-10-28,"Yan",0
"166","Kedah",2020-10-29,"Kuala Muda",6
"167","Kedah",2020-10-30,"Kota Setar",679
"168","Kedah",2020-10-31,"Kubang Pasu",19
"169","Kedah",2020-11-01,"Kulim",3
"170","Kedah",2020-11-02,"Pendang",1
"171","Kedah",2020-11-03,"Baling",6
"172","Kedah",2020-11-04,"Padang Terap",0
"173","Kedah",2020-11-05,"Langkawi",4
"174","Kedah",2020-11-06,"Bandar Baharu",0
"175","Kedah",2020-11-07,"Sik",1
"176","Kedah",2020-11-08,"Yan",0
"177","Kedah",2020-11-09,"Kuala Muda",8
"178","Kedah",2020-11-10,"Kota Setar",1053
"179","Kedah",2020-11-11,"Kubang Pasu",22
"180","Kedah",2020-11-12,"Kulim",3
"181","Kedah",2020-11-13,"Pendang",2
"182","Kedah",2020-11-14,"Baling",7
"183","Kedah",2020-11-15,"Padang Terap",0
"184","Kedah",2020-11-16,"Langkawi",4
"185","Kedah",2020-11-17,"Bandar Baharu",0
"186","Kedah",2020-11-18,"Sik",1
"187","Kedah",2020-11-19,"Yan",2
"188","Kedah",2020-11-20,"Kuala Muda",6
"189","Kedah",2020-11-21,"Kota Setar",1200
"190","Kedah",2020-11-22,"Kubang Pasu",35
"191","Kedah",2020-11-23,"Kulim",4
"192","Kedah",2020-11-24,"Pendang",2
"193","Kedah",2020-11-25,"Baling",6
"194","Kedah",2020-11-26,"Padang Terap",0
"195","Kedah",2020-11-27,"Langkawi",4
"196","Kedah",2020-11-28,"Bandar Baharu",0
"197","Kedah",2020-11-29,"Sik",1
"198","Kedah",2020-11-30,"Yan",0
"199","Kedah",2020-09-26,"Kuala Muda",6
"200","Kedah",2020-09-27,"Kota Setar",1211
"201","Kedah",2020-09-28,"Kubang Pasu",36
"202","Kedah",2020-09-29,"Kulim",4
"203","Kedah",2020-09-30,"Pendang",2
"204","Kedah",2020-10-01,"Baling",6
"205","Kedah",2020-10-02,"Padang Terap",0
"206","Kedah",2020-10-03,"Langkawi",4
"207","Kedah",2020-10-04,"Bandar Baharu",0
"208","Kedah",2020-10-05,"Sik",1
"209","Kedah",2020-10-06,"Yan",0
"210","Kedah",2020-10-07,"Kuala Muda",8
"211","Kedah",2020-10-08,"Kota Setar",1208
"212","Kedah",2020-10-09,"Kubang Pasu",39
"213","Kedah",2020-10-10,"Kulim",4
"214","Kedah",2020-10-11,"Pendang",2
"215","Kedah",2020-10-12,"Baling",7
"216","Kedah",2020-10-13,"Padang Terap",0
"217","Kedah",2020-10-14,"Langkawi",4
"218","Kedah",2020-10-15,"Bandar Baharu",0
"219","Kedah",2020-10-16,"Sik",1
"220","Kedah",2020-10-17,"Yan",0
"221","Kedah",2020-10-18,"Kuala Muda",6
"222","Kedah",2020-10-19,"Kota Setar",1231
"223","Kedah",2020-10-20,"Kubang Pasu",40
"224","Kedah",2020-10-21,"Kulim",6
"225","Kedah",2020-10-22,"Pendang",3
"226","Kedah",2020-10-23,"Baling",8
"227","Kedah",2020-10-24,"Padang Terap",0
"228","Kedah",2020-10-25,"Langkawi",4
"229","Kedah",2020-10-26,"Bandar Baharu",0
"230","Kedah",2020-10-27,"Sik",1
"231","Kedah",2020-10-28,"Yan",2
"232","Kedah",2020-10-29,"Kuala Muda",9
"233","Kedah",2020-10-30,"Kota Setar",1242
"234","Kedah",2020-10-31,"Kubang Pasu",39
"235","Kedah",2020-11-01,"Kulim",5
"236","Kedah",2020-11-02,"Pendang",2
"237","Kedah",2020-11-03,"Baling",14
"238","Kedah",2020-11-04,"Padang Terap",0
"239","Kedah",2020-11-05,"Langkawi",4
"240","Kedah",2020-11-06,"Bandar Baharu",0
"241","Kedah",2020-11-07,"Sik",1
"242","Kedah",2020-11-08,"Yan",0
"243","Kedah",2020-11-09,"Kuala Muda",9
"244","Kedah",2020-11-10,"Kota Setar",1246
"245","Kedah",2020-11-11,"Kubang Pasu",41
"246","Kedah",2020-11-12,"Kulim",5
"247","Kedah",2020-11-13,"Pendang",2
"248","Kedah",2020-11-14,"Baling",17
"249","Kedah",2020-11-15,"Padang Terap",0
"250","Kedah",2020-11-16,"Langkawi",4
"251","Kedah",2020-11-17,"Bandar Baharu",0
"252","Kedah",2020-11-18,"Sik",1
"253","Kedah",2020-11-19,"Yan",0
"254","Kedah",2020-11-20,"Kuala Muda",8
"255","Kedah",2020-11-21,"Kota Setar",1229
"256","Kedah",2020-11-22,"Kubang Pasu",38
"257","Kedah",2020-11-23,"Kulim",6
"258","Kedah",2020-11-24,"Pendang",1
"259","Kedah",2020-11-25,"Baling",19
"260","Kedah",2020-11-26,"Padang Terap",6
"261","Kedah",2020-11-27,"Langkawi",4
