"","Date","State","Cumulative"
"1",2020-09-26,"Melaka",0
"2",2020-09-27,"Melaka",0
"3",2020-09-28,"Melaka",1
"4",2020-09-29,"Melaka",1
"5",2020-09-30,"Melaka",1
"6",2020-10-01,"Melaka",1
"7",2020-10-02,"Melaka",1
"8",2020-10-03,"Melaka",1
"9",2020-10-04,"Melaka",1
"10",2020-10-05,"Melaka",2
"11",2020-10-06,"Melaka",1
"12",2020-10-07,"Melaka",2
"13",2020-10-08,"Melaka",2
"14",2020-10-09,"Melaka",2
"15",2020-10-10,"Melaka",2
"16",2020-10-11,"Melaka",5
"17",2020-10-12,"Melaka",5
"18",2020-10-13,"Melaka",2
"19",2020-10-14,"Melaka",6
"20",2020-10-15,"Melaka",8
"21",2020-10-16,"Melaka",11
"22",2020-10-17,"Melaka",11
"23",2020-10-18,"Melaka",11
"24",2020-10-19,"Melaka",26
"25",2020-10-20,"Melaka",26
"26",2020-10-21,"Melaka",29
"27",2020-10-22,"Melaka",31
"28",2020-10-23,"Melaka",31
"29",2020-10-24,"Melaka",30
"30",2020-10-25,"Melaka",30
"31",2020-10-26,"Melaka",30
"32",2020-10-27,"Melaka",26
"33",2020-10-28,"Melaka",23
"34",2020-10-29,"Melaka",23
"35",2020-10-30,"Melaka",20
"36",2020-10-31,"Melaka",19
"37",2020-11-01,"Melaka",19
"38",2020-11-02,"Melaka",9
"39",2020-11-03,"Melaka",8
"40",2020-11-04,"Melaka",7
"41",2020-11-05,"Melaka",9
"42",2020-11-06,"Melaka",10
"43",2020-11-07,"Melaka",10
"44",2020-11-08,"Melaka",13
"45",2020-11-09,"Melaka",15
"46",2020-11-10,"Melaka",17
"47",2020-11-11,"Melaka",23
"48",2020-11-12,"Melaka",23
"49",2020-11-13,"Melaka",44
"50",2020-11-14,"Melaka",44
"51",2020-11-15,"Melaka",50
"52",2020-11-16,"Melaka",51
"53",2020-11-17,"Melaka",52
"54",2020-11-18,"Melaka",56
"55",2020-11-19,"Melaka",52
"56",2020-11-20,"Melaka",53
"57",2020-11-21,"Melaka",49
"58",2020-11-22,"Melaka",52
"59",2020-11-23,"Melaka",52
"60",2020-11-24,"Melaka",50
"61",2020-11-25,"Melaka",44
"62",2020-11-26,"Melaka",44
"63",2020-11-27,"Melaka",23
"64",2020-11-28,"Melaka",17
"65",2020-11-29,"Melaka",17
"66",2020-11-30,"Melaka",16
"67",2020-09-26,"Negeri Sembilan",5
"68",2020-09-27,"Negeri Sembilan",5
"69",2020-09-28,"Negeri Sembilan",1
"70",2020-09-29,"Negeri Sembilan",1
"71",2020-09-30,"Negeri Sembilan",1
"72",2020-10-01,"Negeri Sembilan",1
"73",2020-10-02,"Negeri Sembilan",0
"74",2020-10-03,"Negeri Sembilan",0
"75",2020-10-04,"Negeri Sembilan",0
"76",2020-10-05,"Negeri Sembilan",0
"77",2020-10-06,"Negeri Sembilan",0
"78",2020-10-07,"Negeri Sembilan",16
"79",2020-10-08,"Negeri Sembilan",17
"80",2020-10-09,"Negeri Sembilan",21
"81",2020-10-10,"Negeri Sembilan",21
"82",2020-10-11,"Negeri Sembilan",21
"83",2020-10-12,"Negeri Sembilan",31
"84",2020-10-13,"Negeri Sembilan",33
"85",2020-10-14,"Negeri Sembilan",33
"86",2020-10-15,"Negeri Sembilan",38
"87",2020-10-16,"Negeri Sembilan",39
"88",2020-10-17,"Negeri Sembilan",38
"89",2020-10-18,"Negeri Sembilan",40
"90",2020-10-19,"Negeri Sembilan",41
"91",2020-10-20,"Negeri Sembilan",45
"92",2020-10-21,"Negeri Sembilan",53
"93",2020-10-22,"Negeri Sembilan",83
"94",2020-10-23,"Negeri Sembilan",119
"95",2020-10-24,"Negeri Sembilan",212
"96",2020-10-25,"Negeri Sembilan",232
"97",2020-10-26,"Negeri Sembilan",253
"98",2020-10-27,"Negeri Sembilan",406
"99",2020-10-28,"Negeri Sembilan",422
"100",2020-10-29,"Negeri Sembilan",458
"101",2020-10-30,"Negeri Sembilan",462
"102",2020-10-31,"Negeri Sembilan",445
"103",2020-11-01,"Negeri Sembilan",401
"104",2020-11-02,"Negeri Sembilan",363
"105",2020-11-03,"Negeri Sembilan",391
"106",2020-11-04,"Negeri Sembilan",392
"107",2020-11-05,"Negeri Sembilan",406
"108",2020-11-06,"Negeri Sembilan",372
"109",2020-11-07,"Negeri Sembilan",390
"110",2020-11-08,"Negeri Sembilan",448
"111",2020-11-09,"Negeri Sembilan",823
"112",2020-11-10,"Negeri Sembilan",826
"113",2020-11-11,"Negeri Sembilan",1024
"114",2020-11-12,"Negeri Sembilan",1221
"115",2020-11-13,"Negeri Sembilan",1291
"116",2020-11-14,"Negeri Sembilan",1646
